output noise; V / sqrt(Hz) X,output noise; V / sqrt(Hz) Y
1,2.948000646179612e-09
1.737800828749376,2.948000646179599e-09
3.019951720402017,2.948000646179563e-09
5.248074602497727,2.948000646179457e-09
9.1201083935591,2.948000646179129e-09
15.84893192461114,2.94800064617814e-09
27.54228703338168,2.948000646175178e-09
47.86300923226386,2.948000646166213e-09
83.17637711026714,2.948000646139128e-09
144.5439770745928,2.948000646057381e-09
251.1886431509581,2.948000645810465e-09
436.5158322401662,2.948000645064812e-09
758.5775750291842,2.948000642812969e-09
1318.256738556408,2.948000636012521e-09
2290.867652767775,2.94800061547549e-09
3981.071705534976,2.94800055345464e-09
6918.309709189371,2.948000366154696e-09
12022.64434617414,2.947999800518109e-09
20892.96130854042,2.947998092324883e-09
36307.80547701018,2.947992933681658e-09
63095.73444801941,2.947977354990745e-09
109647.8196143187,2.947930309579087e-09
190546.071796325,2.94778824823014e-09
331131.1214825916,2.947359353085374e-09
575439.9373371578,2.946065233536645e-09
1000000.000000002,2.942167265373514e-09
1737800.828749378,2.930487830937596e-09
3019951.720402021,2.896034278727522e-09
5248074.602497734,2.798853006182274e-09
9120108.393559111,2.555258577976381e-09
15848931.92461116,2.082025937050458e-09
27542287.03338171,1.459924046483333e-09
47863009.23226392,9.057463562136032e-10
83176377.11026727,5.254441269311703e-10
144543977.074593,2.324470237321e-10
251188643.1509585,1.539052159222443e-10
436515832.2401669,8.943573826415484e-11
758577575.0291854,5.065535279742714e-11
1318256738.55641,2.933940671373515e-11
2290867652.767778,1.657987488924026e-11
3981071705.534982,9.536966956717538e-12
6918309709.189383,6.517025956668981e-12
