Output Noise (V^2/Hz) (timeindex=6e-09) X,Output Noise (V^2/Hz) (timeindex=6e-09) Y
1,8.213385364671341e-17
1.437147107950021,8.213385364659469e-17
2.06539180988911,8.213385364663658e-17
2.968271866365795,8.21338536465911e-17
4.265843328357015,8.213385364662585e-17
6.130644402316177,8.213385364664444e-17
8.810637872658681,8.213385364667464e-17
12.66218273788635,8.213385364658345e-17
18.19741930208805,8.213385364642431e-17
26.15236852214974,8.21338536462664e-17
37.58480078765068,8.213385364566531e-17
54.01488775484986,8.21338536445709e-17
77.62733972312749,8.213385364236458e-17
111.5619067809465,8.213385363772313e-17
160.3308716876271,8.213385362818557e-17
230.4190485609793,8.213385360859306e-17
331.1460692560069,8.213385356808686e-17
475.9056157402877,8.213385348431357e-17
683.9463793183286,8.213385331152361e-17
982.9315610302242,8.213385295442588e-17
1412.617250247387,8.213385221689534e-17
2030.138795833343,8.213385069358268e-17
2917.608099169028,8.213384754735485e-17
4193.032041852327,8.21338410491658e-17
6026.003872489844,8.213382762803821e-17
8660.254037844408,8.213379990789713e-17
12446.05904460059,8.213374265520168e-17
17886.81776132294,8.213362440612595e-17
25705.98841611433,8.213338017665533e-17
36943.28690921547,8.213287575224629e-17
53092.93793974689,8.213183393980772e-17
76302.36221267721,8.21296822810333e-17
109657.719183704,8.212523865595083e-17
157594.2739892558,8.211606250587095e-17
226486.1550931423,8.209711731132521e-17
325493.9227828294,8.205801853684542e-17
467782.6497826509,8.197739400892687e-17
672272.4822843344,8.181142418223742e-17
966154.4536693131,8.147096513474984e-17
1388506.078923886,8.077757810558941e-17
1995487.495696487,7.938587596420614e-17
2867809.083390637,7.667265371255794e-17
4121463.530347656,7.167073308516163e-17
5923149.393160619,6.333298253064635e-17
8512437.020336708,5.151794799748609e-17
12233624.2453836,3.811013926450182e-17
17581517.7040003,2.6208100048101e-17
25267227.32167613,1.766134560060213e-17
36312722.67126261,1.231800003207066e-17
52186724.36879623,9.272465417869885e-18
75000000,8.121936546410827e-18
