Output Noise (V^2/Hz) (timeindex=3e-09) X,Output Noise (V^2/Hz) (timeindex=3e-09) Y
1,7.737736535965553e-15
1.437147107950021,7.737736535920172e-15
2.06539180988911,7.737736535826775e-15
2.968271866365795,7.737736535633716e-15
4.265843328357015,7.737736535235361e-15
6.130644402316177,7.737736534412542e-15
8.810637872658681,7.737736532713151e-15
12.66218273788635,7.737736529203157e-15
18.19741930208805,7.737736521954036e-15
26.15236852214974,7.737736506981698e-15
37.58480078765068,7.737736476057747e-15
54.01488775484986,7.737736412187891e-15
77.62733972312749,7.73773628027124e-15
111.5619067809465,7.73773600781184e-15
160.3308716876271,7.737735445076398e-15
230.4190485609793,7.737734282807393e-15
331.1460692560069,7.737731882267645e-15
475.9056157402877,7.737726924217679e-15
683.9463793183286,7.737716683924497e-15
982.9315610302242,7.737695533803272e-15
1412.617250247387,7.737651850928715e-15
2030.138795833343,7.737561630435378e-15
2917.608099169028,7.737375297267004e-15
4193.032041852327,7.736990478257836e-15
6026.003872489844,7.736195812667024e-15
8660.254037844408,7.734555098654378e-15
12446.05904460059,7.731168861088637e-15
17886.81776132294,7.724185513328789e-15
25705.98841611433,7.709807047039094e-15
36943.28690921547,7.680299923774884e-15
53092.93793974689,7.62015453485152e-15
76302.36221267721,7.499231590948672e-15
109657.719183704,7.262695279025109e-15
157594.2739892558,6.823882225978176e-15
226486.1550931423,6.08440368138257e-15
325493.9227828294,5.019073197443688e-15
467782.6497826509,3.784888673544502e-15
672272.4822843344,2.666539273478617e-15
966154.4536693131,1.849056753440235e-15
1388506.078923886,1.322930295319891e-15
1995487.495696487,9.815546087349739e-16
2867809.083390637,7.248436753393148e-16
4121463.530347656,5.031063449595868e-16
5923149.393160619,3.167298453941928e-16
8512437.020336708,1.814167805384255e-16
12233624.2453836,9.731430509566915e-17
17581517.7040003,5.05906967946946e-17
25267227.32167613,2.634384778752757e-17
36312722.67126261,1.429697057087275e-17
52186724.36879623,8.661486196968279e-18
75000000,6.841971991816085e-18
