/vo X,/vo Y
5.372909516002389e-09,0.5303836944230057
5.393898821453259e-09,0.5387307230466762
5.415611313202634e-09,0.5463264017699072
5.438221568079552e-09,0.5532452769642502
5.461927136381239e-09,0.5595490105140567
5.486947595551799e-09,0.5652865596923325
5.513529484564882e-09,0.5704962917747088
5.541954941864448e-09,0.5752083384165319
5.572553656818178e-09,0.5794466734206589
5.60571891937584e-09,0.5832308507431639
5.641929597086298e-09,0.5865774834996922
5.681781251256471e-09,0.5895015690707938
5.726031647198195e-09,0.5920177326793495
5.775669433223115e-09,0.5941414267171061
5.83202129182028e-09,0.5958901029951073
5.896925514910072e-09,0.5972843678687595
5.973025928964651e-09,0.5983491344313753
6.063593315603538e-09,0.5991099640467413
6.163593315603538e-09,0.5995692641940553
6.263593315603538e-09,0.5998019280235338
6.363593315603538e-09,0.5999140412347709
6.463593315603538e-09,0.5999653721618499
6.563593315603538e-09,0.5999875465175333
6.663593315603538e-09,0.5999964364269611
6.763593315603538e-09,0.5999996210837483
6.863593315603539e-09,0.6000005368095122
6.963593315603539e-09,0.6000006482511125
7.063593315603539e-09,0.6000005368469251
7.163593315603539e-09,0.600000406457791
7.263593315603539e-09,0.6000003088476981
7.363593315603539e-09,0.6000002469215635
7.463593315603539e-09,0.600000211184234
7.563593315603538e-09,0.6000001918972684
7.663593315603537e-09,0.6000001820428645
7.763593315603537e-09,0.6000001772540894
7.863593315603536e-09,0.600000175042397
7.963593315603535e-09,0.6000001740777527
8.063593315603534e-09,0.6000001736863968
8.163593315603534e-09,0.6000001735436802
8.263593315603533e-09,0.6000001735010573
8.363593315603532e-09,0.6000001734944742
8.463593315603531e-09,0.600000173498353
8.563593315603531e-09,0.6000001735036072
8.66359331560353e-09,0.6000001735076814
8.763593315603529e-09,0.6000001735103063
8.863593315603528e-09,0.6000001735118338
8.963593315603528e-09,0.6000001735126622
9.063593315603527e-09,0.6000001735130871
9.163593315603526e-09,0.6000001735132942
9.263593315603525e-09,0.6000001735133903
9.363593315603525e-09,0.6000001735134323
9.463593315603524e-09,0.6000001735134494
9.563593315603523e-09,0.6000001735134557
9.663593315603522e-09,0.6000001735134576
9.763593315603521e-09,0.6000001735134579
9.863593315603521e-09,0.6000001735134578
9.93179665780176e-09,0.6000001735134576
1e-08,0.6000001735134572
