/vo X,/vo Y
0,2.350071340691286e-08
1e-11,2.350071340691303e-08
3e-11,2.350071340691993e-08
6.999999999999999e-11,2.350071340693586e-08
1.5e-10,2.350071340691163e-08
2.5e-10,2.350071340692245e-08
3.5e-10,2.350071340691132e-08
4.5e-10,2.350071340691302e-08
5.5e-10,2.350071340691596e-08
6.499999999999999e-10,2.350071340690844e-08
7.499999999999999e-10,2.350071340690839e-08
8.499999999999999e-10,2.350071340690411e-08
9.499999999999998e-10,2.350071340690407e-08
1.05e-09,2.350071340691273e-08
1.15e-09,2.350071340690846e-08
1.25e-09,2.35007134069084e-08
1.35e-09,2.350071340690843e-08
1.45e-09,2.350071340690842e-08
1.55e-09,2.350071340690842e-08
1.65e-09,2.350071340690842e-08
1.75e-09,2.350071340690842e-08
1.85e-09,2.350071340690842e-08
1.950000000000001e-09,2.350071340690842e-08
2.050000000000001e-09,2.350071340690842e-08
2.150000000000001e-09,2.350071340690842e-08
2.250000000000001e-09,2.350071340690842e-08
2.350000000000001e-09,2.350071340690842e-08
2.450000000000001e-09,2.350071340690842e-08
2.550000000000001e-09,2.350071340690842e-08
2.650000000000001e-09,2.350071340690842e-08
2.750000000000001e-09,2.350071340690842e-08
2.850000000000001e-09,2.350071340690842e-08
2.950000000000001e-09,2.350071340690842e-08
3.050000000000001e-09,2.350071340690842e-08
3.150000000000001e-09,2.350071340690842e-08
3.250000000000001e-09,2.350071340690842e-08
3.350000000000001e-09,2.350071340690842e-08
3.450000000000002e-09,2.350071340690842e-08
3.550000000000002e-09,2.350071340690842e-08
3.650000000000002e-09,2.350071340690842e-08
3.750000000000001e-09,2.350071340692067e-08
3.850000000000001e-09,2.350071340691743e-08
3.950000000000001e-09,2.350071340691213e-08
4.050000000000002e-09,2.350071340690842e-08
4.150000000000002e-09,2.350071340690842e-08
4.250000000000002e-09,2.350071340690843e-08
4.350000000000002e-09,2.350071340690842e-08
4.450000000000002e-09,2.350071340690842e-08
4.550000000000002e-09,2.350071340690842e-08
4.650000000000002e-09,2.350071340690842e-08
4.750000000000002e-09,2.350071340690842e-08
4.850000000000002e-09,2.350071340690842e-08
4.920000000000001e-09,2.350071340690696e-08
4.99e-09,2.350071340690915e-08
4.9905e-09,1.399226772093562e-07
4.9915e-09,3.719217605327563e-07
4.993499999999999e-09,8.352779681684698e-07
4.99675e-09,1.58762261810467e-06
5e-09,2.339732039644347e-06
5.000028216452741e-09,3.387794512898167e-06
5.000056601889882e-09,5.123240878171795e-06
5.000071280287112e-09,6.352631733343779e-06
5.000085890598493e-09,7.827369218017826e-06
5.000104675105081e-09,1.010331133275679e-05
5.000133222825169e-09,1.438192003662796e-05
5.000178550794424e-09,2.318609310401874e-05
5.000231616919627e-09,3.658602765289014e-05
5.000287422269519e-09,5.422811975882123e-05
5.000347274403774e-09,7.714399924558892e-05
5.000412233543692e-09,0.0001066414939463322
5.000456116771846e-09,0.000129279228665026
5.0005e-09,0.0001540853667508952
5.000513685477797e-09,0.000162103951969828
5.000527373073371e-09,0.000170095618802284
5.000549256192491e-09,0.0001827929696845675
5.000568139712356e-09,0.0001936698473321678
5.000588468599008e-09,0.0002052966977167951
5.000615525919746e-09,0.0002206406516729957
5.000659252903078e-09,0.0002451309604657069
5.00071480322308e-09,0.0002757264959326189
