ron_t X,ron_t Y
0,4.072983277413378
0.01,4.099727726027762
0.02,4.127236798656431
0.03,4.155536221883028
0.04,4.184770942170847
0.05,4.21482242383916
0.06,4.245790146414116
0.07000000000000001,4.277712994164411
0.08,4.310629536952773
0.09,4.344576242531645
0.1,4.379585102806456
0.11,4.415939108136872
0.12,4.453368888413973
0.13,4.492057206477253
0.14,4.532059193826507
0.15,4.573426351833572
0.16,4.616202312918309
0.17,4.660418483100849
0.18,4.706931825358525
0.19,4.754735688540833
0.2,4.80435222067117
0.21,4.85586153592059
0.22,4.909327743927546
0.23,4.965903351254653
0.24,5.024394675282905
0.25,5.085525964152025
0.26,5.14948496655893
0.27,5.217123529454878
0.28,5.288897012387275
0.29,5.36541239382627
0.3,5.447542546754624
0.31,5.537260645222427
0.32,5.639539110209352
0.33,5.763067163542019
0.34,5.933035263080063
0.35,6.182788757961331
0.36,6.473408905338944
0.37,6.776987754601416
0.38,7.088968182886889
0.39,7.406936577988671
0.4,7.728156892894856
0.41,8.049500505990149
0.42,8.367507155185557
0.43,8.678478336922455
0.44,8.978593196463763
0.45,9.264028648124949
0.46,9.531093876164816
0.47,9.7763669655006
0.48,9.996847862042106
0.49,10.19012120919473
0.5,10.35451385814353
0.51,10.48925147365729
0.52,10.59442517300783
0.53,10.67118925843962
0.54,10.72152254487754
0.55,10.74812313767812
0.5600000000000001,10.7541901651752
0.57,10.74318005189148
0.58,10.71856397854129
0.59,10.68361426187788
0.6,10.64123378192352
0.61,10.59383921750792
0.62,10.54329327759324
0.63,10.49088478903734
0.64,10.43734432522076
0.65,10.38289005113366
0.66,10.32729475254586
0.67,10.26997016750749
0.68,10.21006101971977
0.6899999999999999,10.1465470485318
0.7,10.07834805660328
0.71,10.00442393163987
0.72,9.923865595835005
0.73,9.835972799010417
0.74,9.740304293483906
0.75,9.63670294293733
0.76,9.525293507783475
0.77,9.406448514467915
0.78,9.280734399281046
0.79,9.148847172850088
0.8,9.01153994750363
0.8100000000000001,8.869558358078564
0.82,8.723592327703146
0.83,8.5742429438102
0.84,8.422010008486792
0.85,8.267655648967171
0.86,8.111076825961979
0.87,7.952844775127019
0.88,7.793366073716009
0.89,7.63312831720691
0.9,7.472739082135097
0.91,7.312950666318804
0.92,7.154673227342388
0.93,6.998991976514815
0.9399999999999999,6.847539138360613
0.95,6.709123966113916
0.96,6.613529896934625
0.97,6.550437722817437
0.98,6.501815055306693
0.99,6.460311245460246
1,6.423090911312108
1.01,6.38883967863989
1.02,6.356828502435299
1.03,6.32679307916394
1.04,6.29824707113909
1.05,6.271046090653138
1.06,6.245054656614889
1.07,6.22025429861765
1.08,6.196438985842372
1.09,6.173543936541172
1.1,6.151512426695118
1.11,6.130210716561246
1.12,6.109798913827693
1.13,6.09008185069229
1.14,6.071033318549689
1.15,6.052624886363846
1.16,6.034704476405663
1.17,6.017551918296948
1.18,6.000927061618053
1.19,5.984817000805233
1.2,5.969205858456004
