ron_p X,ron_p Y
0,4.072983284592442
0.01,4.099727735995007
0.02,4.127236812500838
0.03,4.1555362411207
0.04,4.184770968932741
0.05,4.214822461073449
0.06,4.245790198246933
0.07000000000000001,4.277713066358503
0.08,4.310629637559462
0.09,4.344576382801221
0.1,4.379585298456488
0.11,4.415939381481113
0.12,4.453369270275775
0.13,4.49205774025664
0.14,4.532059940387624
0.15,4.573427396532832
0.16,4.61620377540777
0.17,4.660420530941304
0.18,4.706934703097287
0.19,4.754739727655558
0.2,4.804357893692627
0.21,4.855869508501221
0.22,4.909338952946463
0.23,4.965919176375526
0.24,5.02441699961714
0.25,5.0855574973547
0.26,5.149529565492913
0.27,5.217186817993048
0.28,5.288987162505967
0.29,5.365541382619567
0.3,5.447728151518934
0.31,5.537530205434547
0.32,5.639938227427765
0.33,5.763679158496639
0.34,5.934051240895171
0.35,6.184689905874425
0.36,6.477087914429108
0.37,6.783957618290822
0.38,7.101775049615946
0.39,7.429685648679279
0.4,7.767150802453224
0.41,8.113961458449168
0.42,8.47033141080429
0.43,8.836968022316137
0.44,9.215119706637878
0.45,9.606593755620377
0.46,10.01376848577672
0.47,10.43959134852261
0.48,10.88758631848599
0.49,11.36187660000115
0.5,11.86722669751915
0.51,12.40922477575614
0.52,12.99391502229152
0.53,13.62872697459684
0.54,14.3220644715373
0.55,15.08373903499316
0.5600000000000001,15.92525889712772
0.57,16.86022368158688
0.58,17.90481491774362
0.59,19.07839797134283
0.6,20.40431660967572
0.61,21.91086338984275
0.62,23.6325604732959
0.63,25.61176268581188
0.64,27.90076081308552
0.65,30.56449271981656
0.66,33.68410091275283
0.67,37.36157956949987
0.68,41.72596648259166
0.6899999999999999,46.94157325384798
0.7,53.21901414637242
0.71,60.83023372382866
0.72,70.12909077172134
0.73,81.57967707380479
0.74,95.79634120316321
0.75,113.6005438125673
0.76,136.1028595949656
0.77,164.8241068248817
0.78,201.8767127037085
0.79,250.2410103402211
0.8,314.1961763878191
0.8100000000000001,400.0043060408621
0.82,517.0177191023712
0.83,679.5125540517482
0.84,909.7901298823682
0.85,1242.915927250152
0.86,1737.679236345507
0.87,2491.384199165987
0.88,3671.631472086854
0.89,5573.238965500012
0.9,8726.319958876617
0.91,14102.84774873202
0.92,23513.24638201607
0.93,40363.59289781605
0.9399999999999999,71007.89317231072
0.95,124979.1906482229
0.96,202456.7802976682
0.97,302361.7526958122
0.98,434941.19519076
0.99,615121.9852364215
1,862279.7004452195
1.01,1202558.579513462
1.02,1671911.654837318
1.03,2318018.945034183
1.04,3210014.831152462
1.05,4440831.735001378
1.06,6138840.141065589
1.07,8476795.424783839
1.08,11700700.59230302
1.09,16145209.35288766
1.1,22270926.957701
1.11,30727217.97352498
1.12,42351023.02077188
1.13,58366808.44595336
1.14,80427759.71605349
1.15,110808185.2051554
1.16,152767868.8496391
1.17,210307984.4056698
1.18,289521021.1249804
1.19,398540160.5265344
1.2,548542399.0307715
