Output Noise (V^2/Hz) (timeindex=6e-09) X,Output Noise (V^2/Hz) (timeindex=6e-09) Y
1,8.225997585057441e-17
1.437147107950021,8.225997585057307e-17
2.06539180988911,8.225997585057106e-17
2.968271866365795,8.225997585056875e-17
4.265843328357015,8.225997585056119e-17
6.130644402316177,8.225997585054732e-17
8.810637872658681,8.225997585051929e-17
12.66218273788635,8.225997585045915e-17
18.19741930208805,8.22599758503366e-17
26.15236852214974,8.225997585008314e-17
37.58480078765068,8.225997584956122e-17
54.01488775484986,8.225997584848074e-17
77.62733972312749,8.225997584624982e-17
111.5619067809465,8.225997584164068e-17
160.3308716876271,8.225997583212445e-17
230.4190485609793,8.225997581246743e-17
331.1460692560069,8.225997577186847e-17
475.9056157402877,8.225997568801709e-17
683.9463793183286,8.225997551482926e-17
982.9315610302242,8.225997515712659e-17
1412.617250247387,8.225997441833347e-17
2030.138795833343,8.22599728924336e-17
2917.608099169028,8.225996974085569e-17
4193.032041852327,8.225996323161338e-17
6026.003872489844,8.225994978748017e-17
8660.254037844408,8.225992202009216e-17
12446.05904460059,8.225986466962318e-17
17886.81776132294,8.225974621871222e-17
25705.98841611433,8.225950157236051e-17
36943.28690921547,8.225899628686407e-17
53092.93793974689,8.225795269598621e-17
76302.36221267721,8.225579736427272e-17
109657.719183704,8.225134615367358e-17
157594.2739892558,8.224215433957635e-17
226486.1550931423,8.222317680473486e-17
325493.9227828294,8.21840112871168e-17
467782.6497826509,8.210324913033469e-17
672272.4822843344,8.193699598925129e-17
966154.4536693131,8.159595577739209e-17
1388506.078923886,8.090138516610698e-17
1995487.495696487,7.950730757850649e-17
2867809.083390637,7.67894547608137e-17
4121463.530347656,7.177899964710544e-17
5923149.393160619,6.342703077979567e-17
8512437.020336708,5.159187460199039e-17
12233624.2453836,3.816130797754611e-17
17581517.7040003,2.623925150550878e-17
25267227.32167613,1.767849122559832e-17
36312722.67126261,1.232696331504782e-17
52186724.36879623,9.277363658449361e-18
75000000,8.125523956187179e-18
